window_id,start_time,end_time,s1_prob_normal,s1_prob_yellow,s1_prob_red,s2_prob_normal,s2_prob_yellow,s2_prob_red
0,0.0,10.0,9.0352205e-06,0.99927515,0.0007157659,0.99999547,1.294587e-18,4.4775707e-06
1,5.0,15.0,3.663715e-06,0.9999063,8.998662e-05,0.9999976,3.851532e-21,2.3812659e-06
2,10.0,20.0,5.6492036e-06,0.99987495,0.00011942127,0.9999975,8.3418305e-21,2.5615732e-06
3,15.0,25.0,5.726998e-06,0.9998685,0.00012578603,0.9999927,3.500284e-19,7.2864077e-06
4,20.0,30.0,1.4776775e-05,0.9984865,0.0014986749,0.99999344,4.015627e-18,6.545854e-06
5,25.0,35.0,3.181227e-05,0.9992994,0.00066881743,0.9999702,4.3741327e-16,2.9779616e-05
6,30.0,40.0,2.9115734e-05,0.9994281,0.0005427858,0.99995255,1.3038308e-15,4.749441e-05
7,35.0,45.0,1.5253792e-05,0.9999701,1.4703155e-05,0.9999528,5.0950868e-20,4.7247126e-05
8,40.0,50.0,2.0116015e-05,0.99997056,9.333634e-06,0.99987423,1.1871292e-18,0.00012578422
9,45.0,55.0,7.545963e-06,0.99999106,1.4624374e-06,0.99992204,1.9374659e-19,7.801397e-05
10,50.0,60.0,1.4143052e-05,0.99998415,1.7186799e-06,0.9999018,3.32223e-20,9.8202356e-05
11,55.0,65.0,8.6162145e-06,0.99998903,2.3270425e-06,0.9999509,1.9826054e-20,4.9072292e-05
12,60.0,70.0,2.2161632e-06,0.9999945,3.270314e-06,0.99999213,7.713504e-22,7.827494e-06
13,65.0,75.0,7.485595e-05,0.9998442,8.098521e-05,0.99987996,1.9896587e-16,0.00012002472
14,70.0,80.0,2.1302032e-05,0.9999752,3.46011e-06,0.99997807,2.9380156e-20,2.192654e-05
15,75.0,85.0,4.3037066e-06,0.9999937,2.0576085e-06,0.9999912,8.014991e-21,8.871719e-06
16,80.0,90.0,2.1457754e-05,0.9999728,5.7576513e-06,0.9999546,4.8459823e-19,4.5425757e-05
17,85.0,95.0,8.990804e-06,0.9999869,4.2265992e-06,0.999972,9.13217e-20,2.7987498e-05
18,90.0,100.0,3.1374068e-06,0.999987,9.930393e-06,0.9999968,8.10837e-21,3.2081814e-06
19,95.0,105.0,1.9327943e-05,0.9999747,5.9285844e-06,0.99996686,2.1206192e-19,3.318659e-05
20,100.0,110.0,2.2605e-05,0.999972,5.391417e-06,0.9998541,4.0268476e-18,0.00014590305
21,105.0,115.0,4.053416e-05,0.99994624,1.3200415e-05,0.9998578,1.00671176e-16,0.00014216386
22,110.0,120.0,3.387016e-05,0.9999583,7.916089e-06,0.999899,5.9109714e-18,0.000100961704
23,115.0,125.0,1.7162633e-05,0.99998224,6.336167e-07,0.9999442,7.6274954e-21,5.5820266e-05
24,120.0,130.0,8.587221e-06,0.9999887,2.7440753e-06,0.9999825,1.717848e-19,1.7529737e-05
25,125.0,135.0,1.7409038e-05,0.9999769,5.703771e-06,0.9999348,1.1049817e-18,6.5194945e-05
26,130.0,140.0,6.2275612e-06,0.99999213,1.6965996e-06,0.99995816,4.548399e-21,4.1896477e-05
27,135.0,145.0,7.5214507e-06,0.9999913,1.1986659e-06,0.9999343,7.2288824e-21,6.564586e-05
28,140.0,150.0,7.115076e-05,0.9999286,2.5331119e-07,0.99958676,1.0853903e-20,0.0004132241
29,145.0,155.0,3.7891994e-05,0.999962,9.9940735e-08,0.9997067,1.18919e-21,0.00029331047
30,150.0,160.0,4.568392e-06,0.999985,1.0454551e-05,0.999972,2.9299198e-18,2.7987286e-05
31,155.0,165.0,1.2643615e-05,0.9999716,1.567846e-05,0.9999881,4.4497705e-19,1.1947755e-05
32,160.0,170.0,4.3567343e-05,0.99994636,1.0107376e-05,0.99990344,4.836063e-17,9.6542106e-05
33,165.0,175.0,2.8208187e-05,0.9999652,6.520734e-06,0.99985135,1.8906714e-16,0.00014868232
34,170.0,180.0,1.306002e-05,0.99998343,3.4897687e-06,0.99990773,6.3075115e-18,9.22599e-05
35,175.0,185.0,5.9174267e-06,0.9999926,1.453035e-06,0.9999621,5.5227883e-20,3.785768e-05
36,180.0,190.0,3.9512765e-06,0.99999535,7.2803385e-07,0.9999819,2.3743892e-21,1.8131565e-05
37,185.0,195.0,1.4936027e-05,0.9999695,1.558686e-05,0.99996257,1.467745e-18,3.741379e-05
38,190.0,200.0,2.5484936e-05,0.9999305,4.3952085e-05,0.9999461,6.5453075e-17,5.390627e-05
39,195.0,205.0,1.3393335e-05,0.99993455,5.2066338e-05,0.9999739,2.647237e-20,2.607319e-05
40,200.0,210.0,0.0030105314,0.9969868,2.7141489e-06,0.99950397,1.9437536e-19,0.0004960007
41,205.0,215.0,0.0001346934,0.9998622,3.1153825e-06,0.9990926,2.4204573e-16,0.0009074658
42,210.0,220.0,4.596366e-05,0.9999523,1.7058103e-06,0.99943453,4.624173e-17,0.0005654686
43,215.0,225.0,8.4674284e-05,0.999915,3.3946336e-07,0.99950325,4.6220193e-18,0.0004967554
44,220.0,230.0,1.8878634e-06,0.9999975,6.20003e-07,0.99999416,2.705128e-23,5.8121154e-06
45,225.0,235.0,2.6239342e-05,0.9999728,9.133963e-07,0.999884,1.8764521e-20,0.00011598336
46,230.0,240.0,5.6965646e-06,0.9999906,3.751422e-06,0.99997354,3.4148944e-21,2.6507929e-05
47,235.0,245.0,4.270892e-06,0.9999902,5.531185e-06,0.9999708,8.791827e-21,2.9263669e-05
48,240.0,250.0,0.00010664562,0.999892,1.327916e-06,0.9993523,1.22267585e-17,0.00064772787
49,245.0,255.0,2.0536118e-05,0.999979,5.319683e-07,0.99985516,1.08787894e-20,0.00014483144
50,250.0,260.0,5.801044e-06,0.9999939,2.1937072e-07,0.99996114,3.2404374e-22,3.8866863e-05
51,255.0,265.0,4.3117316e-06,0.999995,7.028941e-07,0.9999776,1.7697533e-21,2.2396125e-05
52,260.0,270.0,0.00010801173,0.9998117,8.031935e-05,0.99990094,5.506057e-15,9.910292e-05
53,265.0,275.0,0.00020966539,0.9996965,9.3899886e-05,0.9997582,3.4181e-14,0.00024178012
54,270.0,280.0,6.8205154e-05,0.9999299,1.9041117e-06,0.99963474,2.714375e-17,0.0003652458
